date,open,high,low,close,volume,ema,atr,rsi,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
1621008000,1.21292,1.21447,1.21243,1.21414,2212,1.2099207238894303,0.0014630258574897012,69.56813927750794,0.0012055614952075633,0.0005233430757769149,0.0006822184194306484
1621011600,1.21413,1.21475,1.21317,1.21342,2426,1.209955542557197,0.0014786224098243964,65.1009576648296,0.0012872212221268775,0.00048400224215698335,0.0008032189799698942
1621015200,1.21342,1.21424,1.21318,1.21398,1135,1.2099955869098618,0.001422806088514485,66.88220741824395,0.0013812028176090063,0.0004623870701112897,0.0009188157474977166
1621018800,1.21399,1.21435,1.21341,1.21371,859,1.2100325462440922,0.0013584319433792124,65.15548429322845,0.0014175564571738963,0.0003989925677409436,0.0010185638894329527
1621022400,1.21369,1.21386,1.21339,1.21353,668,1.2100673467789769,0.0012399743509286468,63.969769288655996,0.0014155251895144882,0.00031756904006522845,0.0010979561494492598
1621026000,1.21353,1.21448,1.21353,1.21437,566,1.210110159248838,0.0012013111041381615,66.98889288582454,0.0014648109463111236,0.00029348383748949115,0.0011713271088216325
1621029600,1.21438,1.21451,1.21416,1.21432,633,1.210152048211536,0.0010878029569197497,66.6309897401224,0.0014827435370059483,0.0002491331425474525,0.0012336103944584958
1621033200,1.21432,1.21446,1.21414,1.21443,365,1.2101946148959983,0.000985429229330463,67.04809968496009,0.0014886708540799987,0.0002040483676972022,0.0012846224863827965
1621209600,1.21426,1.2144,1.21365,1.21408,106,1.2102332754442968,0.000958038665419735,64.29425507726656,0.0014484296255301565,0.00013104571131788804,0.0013173839142122685
1621213200,1.21405,1.21497,1.21385,1.21458,381,1.210276526434901,0.0009796335100304382,66.41636236019419,0.0014402813168312711,9.831792209520217e-05,0.001341963394736069
1621216800,1.21458,1.21509,1.21458,1.21499,257,1.2103234266693796,0.0009170157086930479,68.09107371231832,0.0014501904046957392,8.658160796773612e-05,0.0013636087967280031
1621220400,1.21498,1.21498,1.21323,1.21339,867,1.2103539398368486,0.0010294136142006394,56.29353166484115,0.001313792221060206,-3.98532605342377e-05,0.0013536454815944437
1621224000,1.21339,1.2138,1.21315,1.21325,904,1.2103827563558849,0.0009788251323072262,55.38921753275113,0.001180787464980737,-0.0001382864132909653,0.0013190738782717024
1621227600,1.21325,1.21353,1.21291,1.21352,675,1.2104139727105527,0.000930981781332938,56.82956623713916,0.001084663653636575,-0.00018752817970810187,0.001272191833344677
1621231200,1.2135,1.21385,1.21316,1.21318,640,1.2104414953701494,0.0008988508771552235,54.44565085664121,0.0009698696287525621,-0.00024185776367369183,0.001211727392426254
1621234800,1.21317,1.21339,1.2129,1.21294,434,1.2104663561127351,0.0008443374268678443,52.76311649639278,0.0008497333456811695,-0.00028959523739606756,0.001139328583077237
1621238400,1.21295,1.21314,1.21261,1.21269,504,1.2104884819225588,0.0008024257699521506,50.99527180222429,0.0007259828863437345,-0.0003306765573868021,0.0010566594437305366
1621242000,1.21268,1.2142,1.21266,1.21376,1284,1.2105210343412398,0.0009007690006251805,57.55085154782643,0.0007061102143692821,-0.00028043938348900374,0.0009865495978582859
1621245600,1.21375,1.21461,1.21316,1.21356,1580,1.2105512728055061,0.0009739998005418167,56.04175932134652,0.0006665392011200311,-0.0002560083173906039,0.0009225475185106349
1621249200,1.21355,1.21496,1.21336,1.21482,1057,1.2105937477029638,0.0010574664938029139,62.681010981992685,0.0007284532026925472,-0.0001552754526544703,0.0008837286553470175
